,City,Country,Cloudiness,Humidity,Max Temp,Wind Speed,Lat,Lng
0,grand gaube,MU,20,73,73.4,11.41,-20.01,57.66
1,cape town,ZA,75,71,55.4,2.24,-33.93,18.42
2,gimli,CA,44,100,56.46,8.41,50.63,-96.99
3,souillac,FR,0,68,71.6,5.82,45.6,-0.6
4,mataura,NZ,0,71,51.33,14.79,-46.19,168.86
5,ushuaia,AR,75,48,41,11.41,-54.81,-68.31
6,lagoa,PT,0,69,77,6.93,37.14,-8.45
7,albany,US,75,58,82.4,9.17,42.65,-73.75
8,sistranda,NO,75,93,55.4,6.93,63.73,8.83
9,vaini,IN,48,96,68.7,3.49,15.34,74.49
10,bondoukou,CI,0,84,77.43,3.94,8.04,-2.8
11,la salle,US,40,66,89.78,17.22,41.33,-89.09
12,ribeira grande,PT,20,73,75.2,12.75,38.52,-28.7
13,rikitea,PF,88,100,69.51,14.56,-23.12,-134.97
14,elhovo,BG,0,81,56.01,4.72,42.17,26.57
15,butaritari,KI,0,99,85.35,7.4,3.07,172.79
16,manakara,MG,0,98,69.42,13.78,-22.14,48.01
17,geraldton,CA,75,57,48.2,5.82,49.72,-86.95
18,hilo,US,90,87,75.92,9.17,19.71,-155.08
19,shitanjing,CN,92,93,49.44,2.26,39.23,106.34
20,pandan,PH,68,100,80.4,13.22,11.72,122.09
21,ilulissat,GL,20,64,35.6,8.05,69.22,-51.1
22,chakia,IN,0,79,78.33,3.71,26.42,85.05
23,thompson,CA,75,80,41,2.24,55.74,-97.86
24,la rioja,AR,0,32,83.82,6.17,-29.41,-66.86
25,saint-pierre,FR,0,82,69.8,3.36,48.95,4.24
26,east london,ZA,20,67,60.8,6.93,-33.02,27.91
27,carroll,AU,48,48,60.8,10.29,-30.99,150.44
28,kavieng,PG,88,100,77.7,10.76,-2.57,150.8
29,saint george,GR,20,72,68,3.36,39.45,22.34
30,sapatgram,IN,0,78,77.61,3.71,26.35,90.16
31,lovozero,RU,36,78,44.13,9.86,68.01,35.02
32,gejiu,CN,92,98,62.13,2.26,23.36,103.16
33,kinablangan,PH,36,100,78.6,5.5,7.69,126.55
34,punta arenas,CL,75,60,39.2,5.82,-53.16,-70.91
35,jiayuguan,CN,32,73,42.69,3.27,39.77,98.29
36,camacha,PT,40,68,73.4,8.05,33.08,-16.33
37,frontera,MX,40,62,89.6,11.77,18.53,-92.64
38,hermanus,ZA,76,99,49.62,3.38,-34.42,19.24
39,severo-kurilsk,RU,8,100,47.73,9.53,50.68,156.12
40,port elizabeth,US,90,93,84.92,10.29,39.31,-74.98
41,cidreira,BR,56,84,67.98,5.39,-30.17,-50.22
42,atuona,PF,0,98,79.95,16.8,-9.8,-139.03
43,ulagan,RU,8,78,13.53,2.15,50.63,87.96
44,namibe,AO,0,100,64.92,9.64,-15.19,12.15
45,bungoma,KE,56,100,55.92,4.83,0.57,34.56
46,qaanaaq,GL,0,100,21.63,5.73,77.48,-69.36
47,lebu,ET,20,84,43.95,2.59,8.96,38.73
48,bagdarin,RU,32,93,32.88,2.37,54.44,113.59
49,hithadhoo,MV,64,100,81.84,4.72,-0.6,73.08
50,mildura,AU,0,84,43.86,9.98,-34.18,142.16
51,sale,GB,40,93,64.4,6.93,53.42,-2.32
52,moose factory,CA,40,57,48.2,5.82,51.26,-80.61
53,preili,LV,0,87,56.19,9.64,56.29,26.72
54,wattegama,LK,92,89,72.93,7.85,7.35,80.68
55,wasilla,US,90,79,57.92,2.71,61.58,-149.44
56,villavicencio,CO,40,58,86,6.93,4.13,-73.62
57,kodiak,US,75,40,96.08,12.75,39.95,-94.76
58,biloela,AU,0,79,58.26,8.63,-24.4,150.51
59,saskylakh,RU,76,96,32.61,4.72,71.97,114.09
60,poopo,BO,0,71,56.28,2.59,-18.38,-66.97
61,ketchikan,US,1,54,55.94,5.82,55.34,-131.65
62,arlit,NE,0,16,81.03,8.97,18.74,7.39
63,druzhba,UA,12,80,55.38,4.94,49.36,25.65
64,waitati,NZ,0,85,45.93,2.71,-45.75,170.57
65,atar,MR,36,58,83.28,1.36,20.52,-13.05
66,whitehorse,CA,20,44,39.2,3.15,60.72,-135.06
67,yulara,AU,0,54,51.8,5.82,-25.24,130.99
68,upernavik,GL,0,100,33.69,16.24,72.79,-56.15
69,avarua,CK,75,60,73.4,18.34,-21.21,-159.78
70,vila franca do campo,PT,20,69,73.4,5.82,37.72,-25.43
71,ludvika,SE,0,87,55.4,3.36,60.15,15.18
72,praia da vitoria,PT,20,78,75.2,6.73,38.73,-27.07
73,dikson,RU,80,100,38.91,21.83,73.51,80.55
74,trinidad,UY,88,50,78.8,16.11,-33.52,-56.9
75,moundsville,US,20,67,80.96,8.05,39.92,-80.74
76,busselton,AU,80,100,52.95,4.61,-33.64,115.35
77,sola,NO,75,93,60.8,19.46,58.89,5.65
78,yellowknife,CA,75,100,32,10.29,62.45,-114.38
79,consett,GB,20,68,64.4,17.22,54.85,-1.83
80,tuktoyaktuk,CA,75,79,28.4,9.17,69.44,-133.03
81,new norfolk,AU,20,75,42.8,5.82,-42.78,147.06
82,mount isa,AU,0,32,51.8,4.7,-20.73,139.49
83,cayenne,GF,75,70,87.8,10.29,4.94,-52.33
84,luderitz,NA,36,91,54.57,11.65,-26.65,15.16
85,antigonish,CA,75,83,69.8,10.29,45.62,-61.99
86,ciudad guayana,VE,24,67,87.51,6.96,8.32,-62.69
87,hasaki,JP,75,82,66.2,14.99,35.73,140.83
88,dingle,PH,24,98,73.38,3.6,11,122.67
89,flin flon,CA,75,70,42.8,6.93,54.77,-101.88
90,madang,PG,76,100,73.74,2.93,-5.21,145.81
91,pevek,RU,0,100,39.99,8.3,69.7,170.27
92,bhadrachalam,IN,88,99,72.21,4.27,17.67,80.89
93,esperance,TT,56,66,87.8,10.29,10.24,-61.45
94,kapaa,US,40,76,78.98,11.41,22.08,-159.32
95,rio grande,BR,40,73,71.6,5.82,-32.03,-52.1
96,la orilla,MX,8,66,89.58,8.75,18,-102.23
97,mwinilunga,ZM,0,40,64.65,4.16,-11.73,24.43
